,Company Name,Sector,Stage,Amount($),Location,Funding Year,Founders,Investor,label
397,Byju's,Edtech,Bridge Round,1600000.0,Bangalore,2011.0,Byju Raveendran,"South Africa’s Naspers Ventures, the CPP Investment Board",technology
398,Zest Money,Fintech,Series B,1600000.0,Bangalore,2015.0,"Chapman, Priya Sharma, Ashish AArnav Kumartharaman",Goldman Sachs.,technology
399,Witblox,Edtech,Bridge Round,1600000.0,Bangalore,2014.0,Amit Modi,Mumbai Angels Network,technology
400,Azah Personal Care Pvt. Ltd.,Health,Pre series A,1600000.0,Gurugram,2018.0,"Mohammed, Shashwat Diesh","Kunal Bahl, Rohit Bansal.",non-technology
401,SalaryFits,Fintech,Bridge Round,1600000.0,Bangalore,2015.0,Renato Araujo,Brazilian VC Fund Confrapar,technology
402,Pristyn Care,Healthcare,Series B,1600000.0,Bangalore,2018.0,"Harsimarbir Singh, Dr Vaibhav Kapoor, Dr Garima Sawhney","Sequoia India, Hummingbird Ventures, Greenoaks Capital, AngelList.",technology
403,Springboard,Edtech,Post series A,1600000.0,Bangalore,2013.0,"Gautam Tambay, Parul Gupta",Reach Capital,technology
404,DROR Labs Pvt. Ltd,Safety tech,Bridge Round,1600000.0,Delhi,2018.0,"Dhiraj Naubhar, Dheeraj Bansal",Inflection Point Ventures,technology
405,Medlife,Pharmaceutical,Bridge Round,1600000.0,Bangalore,2014.0,"Tushar Kumar, Prashant Singh",Wilson Global Opportunities Fund,technology
406,Seekify,SaaS,Seed funding,1600000.0,Delhi,2019.0,"Arihant Jain, Ajeet Kushwaha",Sequoia Capita,non-technology
407,Toffee Insurance,Insurance technology,Series A,1600000.0,Haryana,2017.0,"Nishant Jain, Rohan Kumar",IVM Intersurer,technology
408,Fireflies .ai,AI,Bridge Round,1600000.0,Bangalore,2016.3733440385388,Sam Udotong,Canaan Partners,technology
409,HungerBox,Foodtech,Series C,1600000.0,Bangalore,2015.0,"Sandipan Mitra, Uttam Kumar","Paytm, Asian VC fund NPTK, Sabre Partners, Neoplux.",technology
410,Bijak,AgriTech,Seed fund,1600000.0,Bangalore,2019.0,"Nukul Upadhye, Mahesh Jakhotia, Jitender Bedwal, Daya Rai, Nikhil Tripathi","Omnivore and Omidyar Network India, Sequoia Capital",non-technology
411,Licious,Food,Series E,1600000.0,Bangalore,2016.3733440385388,"Vivek Gupta, Abhay Hanjura",Vertex Growth Fund,non-technology
412,truMe,IoT,Bridge Round,1600000.0,Bangalore,2016.3733440385388,"Babu Dayal, Pramod Uniyal, Lalit Mehta",Rajan Kaistha,non-technology
413,Pumpkart,E-marketplace,Bridge Round,1600000.0,Chandigarh,2014.0,KS Bhatia,Dinesh Dua,technology
414,Asteria Aerospace,Robotics & AI,Bridge Round,1600000.0,Bangalore,2011.0,"Neel Mehta, Nihar Vartak",Reliance Industries,technology
415,Rivigo,Logistics,Series F,1600000.0,Bangalore,2014.0,"Deepak Garg, Gazal Kalra","SAIF Partners India VI Ltd, Spring Canter Investment Ltd",non-technology
416,HappyEasyGo,Travel,Series B+,1600000.0,Gurugram,2017.0,"Vivek Prabhakar, Boris Zha","Korea Investment Partners (KIP), Samsung Venture Investment Corporation (SVIC), UOB Venture, 10 Fund, CVCapital, Zero2IPO Ventures, M&S Partners",non-technology
417,Zetwerk,Manufacturing,Series B,1600000.0,Bangalore,2018.0,"Amit Acharya, Srinath RamakkrushArnav Kumar","Lightspeed and Greenoaks Capital, Sequoia India, Accel and Kae Capital",non-technology
418,Observe.AI,AI,Series A,1600000.0,Bangalore,2016.3733440385388,Swapnil,Scale Venture Partners,technology
419,Freshokartz,E-marketplace,Pre series A,1600000.0,Jaipur,2016.0,Rajendra Lora,ThinkLab,technology
420,Lil’ Goodness and sCool meal,Food & Nutrition,Bridge Round,1600000.0,Bangalore,2016.3733440385388,Arnav Kumar,"Sajan Pillai, Muthu KrishUndisclosed,",technology
421,Trell,Social Media,Pre series A,1600000.0,Bangalore,2016.0,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba","Ruizheng Investment, Tej Kapoor, Krinshavataram Venkata Vinjamuri, Harsh Shah",non-technology
423,Bombay Shirt Company,E-commerce,Bridge Round,1600000.0,Mumbai,2012.0,Akshay Narvekar,Lightbox Ventures,non-technology
424,Slintel,SaaS,Bridge Round,1600000.0,Bangalore,2016.0,Deepak Anchala,Stellaris Ventures,non-technology
425,MyGameMate,E-Sports,Bridge Round,1600000.0,Bangalore,2016.3733440385388,Parshavv Jain& Raju Kushwaha,"Jindagi Live Angels,",non-technology
426,Afinoz,Fintech,Bridge Round,1600000.0,Noida,2016.3733440385388,Rachna Suneja,Fintech innovation lab,technology
427,Rein Games,Technology,Pre series A,1600000.0,Noida,2016.3733440385388,"Vaibhav Gupta, Himanshu Devra, Pranav Chaudhary, Nishtha Gupta","Manipal Education and Medical Group (MEMG) family office, Titan Capital",non-technology
428,Ecozen,AgriTech,Series A,1600000.0,Pune,2016.3733440385388,"Devendra Gupta, Prateek Singhal, Vivek Pandey",Innovation in Food & Agriculture Fund (IFA Fund),non-technology
429,Box8,Foodtech,Bridge Round,1600000.0,Mumbai,2011.0,"Amit Raj, Anshul Gupta",Trifecta Capital,technology
431,Purplle,Cosmetics,Series C,1600000.0,Mumbai,2012.0,"Manish Taneja, Rahul Dash",Goldman Sachs,non-technology
432,Freightwalla,B2B,Series A,1600000.0,Mumbai,2017.0,"Sanjay Bhatia, Bharat Tanvi, Punit Java","Amplo, FJ Labs, Rogue One Capital",non-technology
434,eJOHRI,Jewellery,Pre series A,1600000.0,Mumbai,2015.0,"Jignesh Mehta, Shailen Mehta",Rajesh Ranavat,non-technology
435,Ninjacart,B2B Supply Chain,Bridge Round,1600000.0,Bangalore,2015.0,"Thirukumaran Nagarajanin, Vasudevan Chinnathambi","Walmart, Flipkart",technology
436,Binca Games,Games,Bridge Round,1600000.0,Mumbai,2014.0,"Rubianca Wadhwa, Sahil Wadhwa",Sunil Gavaskar,non-technology
439,Origo,AgriTech,Bridge Round,1600000.0,Gurugram,2010.0,"Mayank Dhanuka, Sunoor Kaul","Oikocredit, Caspian SME Impact Fund IV,  Triodos Investment Management",non-technology
441,Ecom Express,Logistics,Bridge Round,1600000.0,Gurugram,2012.0,"KrishArnav Kumar, Manju Dhawan, K Satyanarayana, Sanjeev Saxena",CDC Group,non-technology
442,Stanza Living,Accomodation,Bridge Round,1600000.0,Delhi,2017.0,"Sandeep Dalmia, Anindya Dutta",Alteria Capital,non-technology
443,PiBeam,Automotive tech,Bridge Round,1600000.0,Chennai,2016.3733440385388,Visakh Sasikumar,GAIL (India) Ltd,technology
444,Euler Motors,Automotive tech,Bridge Round,1600000.0,Delhi,2016.3733440385388,Saurav Kumar,"Blume Ventures, Emergent Ventures",technology
445,Moms Co,E-commerce,Series B,1600000.0,New Delhi,2016.3733440385388,Malika Sadani,"Saama Capital, DSG Consumer Partners",non-technology
446,Cubical Labs,IoT,Series B,1600000.0,Bangalore,2013.0,"Dhruv Ratra, Swati Vyas",Rockstud Capital,non-technology
447,Lawyered,Legal tech,Bridge Round,1600000.0,Delhi,2015.0,"Ashish Bhatia, Himanshu Gupta","Pramendra Tomar, Ratish Pandey, Munish Bhatia, Sumit Aggarwal",technology
448,Cuemath,Edtech,Bridge Round,1600000.0,Bangalore,2013.0,MaArnav Kumar Khurma,"Manta Ray Ventures Limited, Google’s Capital G, Sequoia India.",technology
449,Licious,Food,Series D,1600000.0,Bangalore,2015.0,"Vivek Gupta, Abhay Hanjura",Vertex Ventures,non-technology
450,Nivesh.com,Mutual Funds,Bridge Round,1600000.0,Noida,2016.0,"Anurag Garg, Sridhar Srinivasan",Windrose Capital,non-technology
452,Smart Institute,Edtech,Bridge Round,1600000.0,Surat,2016.3733440385388,Arnav Kumar,HNI investors,technology
453,CarDekho,Automobile,Series D,1600000.0,Jaipur,2008.0,Amit Jain,"Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital",non-technology
454,Shadowfax,Logistics,Series D,1600000.0,Bangalore,2015.0,"Abhishek Bansal, Vaibhav Khandelwal","Flipkart, Eight Roads Ventures, NGP Capital, Qualcomm Ventures, Mirae Asset Naver Fund, World Bank-backed IFC",non-technology
455,Credr,Automobile,Bridge Round,1600000.0,Mumbai,2014.0,Mittal,"Omidyar Network, Eight Roads Ventures, GrowthStory, AngelList",non-technology
456,Sportido,Sports,Series B,1600000.0,Noida,2015.0,"Neeraj Aggarwala, Akhil Ramachandran","Inflection Point Ventures, SucSEED Venture Partners.",non-technology
457,Phable,Healthtech,Bridge Round,1600000.0,Bangalore,2018.0,Sumit Sinha,"LetsVenture, 91 Springboard, IKP Knowledge, Angel investors, AbInbev-Serge DeVos, Wouter Peeters.",technology
458,Sarva,Yoga & wellness,Bridge Round,1600000.0,Chennai,2016.3733440385388,Sarvesh Shashi,"Venture fund, Fireside Ventures.",non-technology
459,IndyFint,Virtual Banking,Series A,1600000.0,Bangalore,2019.0,Paddy Padmanabhan,SaravaUndisclosed Adiseshan,non-technology
460,Zolostays,Accomodation,Bridge Round,1600000.0,Bangalore,2015.0,"Akhil Sikri, Nikhil Sikri, Sneha Choudhry",Trifecta Capital,non-technology
461,Ola,Transportation,Bridge Round,1600000.0,Bangalore,2010.0,"Bhavish Aggarwal, Ankit Bhati","Kia Motors, Hyundai",non-technology
462,Zoomcar,Transport & Rentals,Bridge Round,1600000.0,Bangalore,2013.0,"Greg Moran, David Back",Zoomcar Inc,non-technology
463,Kratikal,Technology,Pre-series A,1600000.0,Uttar pradesh,2016.3733440385388,Pavan Kushwaha,"Gilda VC, Art Venture, Rajeev Chitrabhanu",non-technology
464,Froogal,Marketing & Customer loyalty,Pre series A,1600000.0,Hyderabad,2016.3733440385388,"Jeevan Chowdary M, Harshit Harchani",US-based angel investors,technology
465,Infra.Market,Infratech,Series A,1600000.0,Mumbai,2016.3733440385388,"Aaditya Sharda, Souvik Sengupta","Tiger Global, Nexus Venture Partners, Accel Partners, Dhruv Agarwala",technology
466,Oyo,Hospitality,Bridge Round,1600000.0,Gurugram,2013.0,Ritesh Agarwal,"MyPreferred Transformation, Avendus FiUndisclosedce, SoftBank",technology
467,GoMechanic,Automobile & Technology,Series B,1600000.0,Delhi,2016.0,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",Sequoia Capital,technology
468,Spinny,Automobile,Bridge Round,1600000.0,Delhi,2015.0,"Niraj Singh, Ramanshu Mahaur, Ganesh Pawar, Mohit Gupta","Norwest Venture Partners, General Catalyst, Fundamentum, Accel Partners",non-technology
469,Ess Kay Fincorp,Banking,Bridge Round,1600000.0,Rajasthan,2016.3733440385388,Rajendra Setia,"TPG, Norwest Venture Partners, Evolvence India",non-technology
470,Aqgromalin,AgriTech,Bridge Round,1600000.0,Chennai,2019.0,"Prasanna Manogaran, Bharani C L",Angel investors,non-technology
471,Krayonnz,EdTech,Pre-seed,1600000.0,Bangalore,2019.0,"Saurabh Dixit, Gurudutt Upadhyay",GSF Accelerator,non-technology
472,PadCare Labs,Hygiene management,Pre-seed,1600000.0,Pune,2018.0,Ajinkya Dhariya,Venture Center,non-technology
473,NCOME,Escrow,Bridge Round,1600000.0,New Delhi,2020.0,Ritesh Tiwari,"Venture Catalysts, PointOne Capital",non-technology
474,Gramophone,AgriTech,Bridge Round,1600000.0,Indore,2016.0,"Ashish Rajan Singh, Harshit Gupta, Nishant Mahatre, Tauseef Khan","Siana Capital Management, Info Edge",non-technology
475,qZense,AgriTech,Seed,1600000.0,Bangalore,2019.0,"Rubal Chib, Dr Srishti Batra","Venture Catalysts, 9Unicorns Accelerator Fund",non-technology
476,MyClassboard,EdTech,Pre-series A,1600000.0,Hyderabad,2008.0,Ajay Sakhamuri,ICICI Bank.,non-technology
477,Metvy,Networking platform,Pre-series,1600000.0,Gurgaon,2018.0,Shawrya Mehrotra,HostelFund,non-technology
478,Rupeek,FinTech,Series C,1600000.0,Bangalore,2015.0,"Amar Prabhu, Ashwin Soni, Sumit Maniyar","KB Investment, Bertelsmann India Investments",non-technology
479,Gig India,Crowdsourcing,Pre-series A,1600000.0,Pune,2017.0,"Aditya Shirole, Sahil Sharma","Shantanu Deshpande, Subramaniam Ramadorai",non-technology
480,Slurrp Farm,Food & Bevarages,Series A,1600000.0,Gurgaon,2016.0,Meghana Narayan,Fireside Ventures,technology
481,Medfin,HealthTech,Series A,1600000.0,Bangalore,2017.0,"Arjun Kumar, Arun Kumar, Sidharth Gurjar","Axilor Ventures, S.D. Shibulal",non-technology
482,MasterG,Fashion startup,Bridge Round,1600000.0,New Delhi,2015.0,Gayatri Jolly,Acumen Fund's angel programme,technology
483,Brila 91,Food & Bevarages,Bridge Round,1600000.0,New Delhi,2014.0,Ankur Jain,"Sequoia Capital India, Sixth Sense Ventures",technology
484,FoodyBuddy,Food Industry,Bridge Round,1600000.0,Belgaum,2015.0,"Akil Sethuraman, Anup Gopinath, Rachna Rao",Rebel Foods,non-technology
485,Zomato,Food Delivery,Bridge Round,1600000.0,Gurgaon,2008.0,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management",non-technology
486,OurEye.ai,Virtual auditing startup,Bridge Round,1600000.0,Bangalore,2020.0,"Miran Junaidi, Saurabh Ghanekar, Sourav Sanyal","100X VC, Amara Ventures",technology
487,Shiprocket,E-commerce,Series C,1600000.0,New Delhi,2017.0,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","Bertelsmann India Investments, InnoVen Capital",non-technology
488,Pine Labs,FinTech,Bridge Round,1600000.0,Noida,1998.0,Amrish Rau,"Mastercard, Temasek Holdings",non-technology
489,Moneyboxx Finance,FinTech,Bridge Round,1600000.0,New Delhi,2019.0,Prashant Agarwal,"BlackSoil, Caspian",non-technology
490,EWar,Gaming,Pre-series A,1600000.0,Bangalore,2019.0,"Parth Chadha, Rahul Singh","Jindal Steels, Jeet Banerjee",non-technology
492,TaxBuddy.com,FinTech,Bridge Round,1600000.0,Mumbai,2019.0,Sujit Bangar,Zenith Global,non-technology
493,Awign Enterprises,Work fulfillment,Bridge Round,1600000.0,Bangalore,2016.0,"AnArnav Kumarya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",non-technology
495,CoinDCX,FinTech,Series B,1600000.0,Mumbai,2017.0,"Neeraj Khandelwal, Sumit Gupta","Coinbase Ventures, Polychain",non-technology
496,Glance,AI startup,Bridge Round,1600000.0,Bangalore,2016.0,Naveen Tewari,Mithril Capital Management.,technology
497,VerSe Innovation,Telecommunication,Bridge Round,1600000.0,Bangalore,2007.0,Virendra Gupta,Google,non-technology
498,Voosh,Food Industry,Pre-seed,1600000.0,Bangalore,2020.0,Priyam Saraswat,Better Capital,non-technology
499,Delhivery,E-commerce,Bridge Round,1600000.0,Gurgaon,2011.0,"Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Steadview Capital, Canada Pension Plan Investment Board",non-technology
500,Arya,AgriTech,Series B,1600000.0,Noida,1982.0,"Chattanathan Devarajan, Prasanna Rao, AArnav Kumard Chandra",Quona Capital,non-technology
501,Pickrr,Logistics,Bridge Round,1600000.0,New Delhi,2015.0,"Ankit Kaushik, Gaurav Mangla, Rhitiman Majumder",Swastika,non-technology
502,PhonePe,FinTech,Bridge Round,1600000.0,Andheri,2015.0,"Burzin Engineer, Rahul Chari, Sameer Nigam","Flipkart, Walmart",non-technology
503,Countingwell,EdTech,Pre-series A,1600000.0,Bangalore,2018.0,Nirmal Shah,"Delhi Private School, UAE, Interstar",non-technology
504,Callify.ai,Tech Startup,Seed,1600000.0,Mumbai,2016.0,"Chetan Indap, Sunny Sharma, Deepanti Kavi",Malpani Ventures,technology
505,Hudle,Sports,Pre-series A,1600000.0,New Delhi,2016.0,Suhail Narain,Survam Partners,non-technology
506,Cover it Up,E-commerce,Seed,1600000.0,Chennai,2013.0,Ronak Sarda,Angel investors,non-technology
507,BiteSpeed,E-commerce,Seed,1600000.0,Gurgaon,2019.0,"Vinayak, Kshitij Abhishek, Apoorv Sadana",Whiteboard Capital,non-technology
508,WakeFit,Retail,Series B,1600000.0,Bangalore,2016.0,"Ankit Garg, Chaitanya Ramalingegowda",Sequoia Capital.,technology
509,Sreyas Holistic Remedies,Medtech,Bridge Round,1600000.0,Hyderabad,2008.0,Dr Prashant Soma,Blacksoil,technology
510,Fleeca India,Tyre management,Bridge Round,1600000.0,Jaipur,2016.0,Tikam Jain,Bridgestone India,non-technology
511,M1xchange,FinTech,Bridge Round,1600000.0,Gurgaon,2017.0,Sundeep Mohindru,"BEENEXT, Mayfield Fund",non-technology
512,Exotel,Cloud company,Bridge Round,1600000.0,Bangalore,2011.0,Shivakumar Ganesan,"A91 Partners, Artha India Ventures",non-technology
513,PagarBook,Software company,Series A,1600000.0,Bangalore,2019.0,"Adarsh Kumar, Rupesh Mishra","Sequoia Capital, India Quotient",technology
515,Ayana,Renewable player,Bridge Round,1600000.0,Bangalore,2017.0,ShivaArnav Kumard N,"NIIF Ltd, CDC Group",non-technology
516,Fisdom,FinTech,Bridge Round,1600000.0,Bangalore,2015.0,"AArnav Kumard Dalmia, Ramganesh Iyer, Subramanya S.V., Subramanya Venkat","PayU FiUndisclosedce India, Quona Capital",non-technology
517,Tinker Coders,EdTech,Seed,1600000.0,Noida,2020.0,Anoop Gautam,STEMROBO Technologies,non-technology
518,Infinite Uptime,IoT startup,Series B,1600000.0,Pune,2015.0,Raunak Bhinge,"Infrastructure Leasing & FiUndisclosedcial Services Limited, Dorm Room Fund",technology
519,HappyLocate,SaaS startup,Pre-series A,1600000.0,Bangalore,2016.0,"Ajay Tiwari, Sainadh Duvvuru",The CoWrks Foundry,technology
520,PhonePe,FinTech,Bridge Round,1600000.0,New Delhi,2015.0,"Burzin Engineer, Rahul Chari, Sameer Nigam",Flipkart,non-technology
521,Loop Health,HealthTech,Seed,1600000.0,Pune,2017.0,"Mayank Kale, Ryan Singh","Y Combinator, Sierra Ventures",non-technology
522,NeoDocs,HealthTech,Pre-seed,1600000.0,Mumbai,2020.0,"Anurag Meena, Nikunj Malpani, Pratik Lodha",9Unicorns Accelerator Fund,non-technology
523,The ePlane,Aero company,Seed,1600000.0,Chennai,2016.0,"Satya Chakravarthy, Pranjal Mehta",Speciale Invest,non-technology
524,TagMango,Marketing company,Seed,1600000.0,Mumbai,2019.0,"Divyanshu Damani, Mohammad Hasan","XRM Media, Kevin Lin",technology
525,The New Shop,Retail startup,Seed,1600000.0,New Delhi,2019.0,"Charak Almast, Aastha Almast, Mani Dev Gyawali",Huddle Accelerator,technology
526,MobiKwik,FinTech,Bridge Round,1600000.0,Gurgaon,2009.0,"Bipin Singh, Upasana Taku","Hindustan Media Venture, Nicolas Jarrosson",non-technology
527,DebugsBunny,EdTech,Bridge Round,1600000.0,Pune,2020.0,Sumit Sanjay Singare,India Angel Fund,non-technology
528,BHIVE Investech,Co-working Startup,Seed,1600000.0,Bangalore,2014.0,"Monnappa Bayavanda, Prashant Reddy, Ravindra M.K, Ravindra M.K., Shesh Paplikar, Shesh Paplikar, Sridhar Venkataraman",Blume Ventures,technology
529,Rivigo,Logistics,Bridge Round,1600000.0,Gurgaon,2014.0,"Deepak Garg, Gazal Kalra","Elevation Capital, Trifecta Capital Advisors",non-technology
530,ZipLoan,Finance company,Bridge Round,1600000.0,New Delhi,2015.0,"KSHITIJ Puri, Shalabh Singhal","Stride Ventures, Matrix Partners India",non-technology
531,Swipez,FinTech,Bridge Round,1600000.0,Pune,2014.0,Vivek Iyer,"9Unicorns, Anicut",non-technology
532,Humus,AgriTech,Bridge Round,1600000.0,Bangalore,2019.0,"Manjunatha T N, Shilpa Gopalaiah","Venture Catalysts, 9Unicorns, We Founders Circle.",non-technology
533,Artivatic.ai,Tech company,Bridge Round,1600000.0,Bangalore,2017.0,Layak Singh,"SenseAI Ventures, Saurabh Chugh",non-technology
534,Prescinto,Solar Monitoring Company,Seed,1600000.0,Ahmedabad,2016.0,"Puneet Singh Jaggi, Sanjay Bhasin, Ram Menon","Startup incubator, Accelerator Venture Catalysts",technology
536,Bolo Indya,Video sharing platform,Bridge Round,1600000.0,Gurgaon,2019.0,"Tanmai Paul, Varun Saxena","India Accelerator, Sunil Kamath",technology
537,Bombay Play,Gaming startup,Seed,1600000.0,Bangalore,2017.0,"Abhas Saroha, Oliver Jones, Oliver Jones","Ramakant Sharma, Leo Capital India",technology
538,FreshToHome,E-commerce,Bridge Round,1600000.0,Bangalore,2015.0,Shan Kadavil,Investment Corporation of Dubai (ICD),non-technology
539,KIKO TV,Video streaming platform,Seed,1600000.0,Mumbai,2020.0,"Shivam Varshney, Alok Chawla","9Point8 Capital, Sunil Kumar Singhvi",non-technology
540,Atomberg Technologies,Consumer appliances,Series B,1600000.0,Mumbai,2012.0,"Manoj Meena, Sibabrata Das","Sandeep Tandon, Survam Partners",non-technology
541,DealShare,E-commerce,Series C,1600000.0,Jaipur,2018.0,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Falcon Edge Capital, Omidyar Network",non-technology
542,Smallcase,FinTech,Bridge Round,1600000.0,Bangalore,2015.0,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath","WEH Ventures, BEENEXT",non-technology
543,CueMath,EdTech,Series C,1600000.0,Bangalore,2011.0,MaArnav Kumar Khurma,"Sequoia Capital India, CapitalG",non-technology
544,Gamerji,Gaming startup,Seed,1600000.0,Ahmedabad,2018.0,"Soham Thacker, Valay Patel, Varun Gajjar",La Gajjar Group.,technology
545,5C Network,HealthTech,Pre-series A,1600000.0,Bangalore,2014.0,Kalyan Sivasailam,"Axilor Ventures, Unitus Ventures",non-technology
546,Ethereum Push Notification Service,Blockchain startup,Seed,1600000.0,Mumbai,2020.0,"Harsh Rajat, Richa Joshi",Prolific angel investors,technology
547,Mihup,Conversational AI platform,Series A,1600000.0,Kolkata,2016.0,"Biplab Chakraborty, Sandipan Chattopadhyay, Sandipan Mandal, Tapan Barman","Ideaspring Capital, Accel",technology
548,RuralBasket,E-commerce,Bridge Round,1600000.0,Tirunelveli,2019.0,Palani Rajan,Nativelead Foundation,non-technology
549,WayCool Foods,AgriTech,Debt,1600000.0,Chennai,2015.0,"Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank",non-technology
550,Infra.Market,Real Estate,Series B,1600000.0,Thane,2016.0,"Aaditya Sharda, Souvik Sengupta","Trifecta Capital Advisors, Nexus Venture Partners",non-technology
551,Info Edge Venture,Venture capitalist,Bridge Round,1600000.0,Noida,1995.0,Sanjeev Bikhchandani,Lightbox,technology
552,Clovia,E-commerce,Pre-series C,1600000.0,Noida,2013.0,"Neha Kant, Pankaj Vermani","Golden Birch Investments, She Capital",non-technology
553,Codingal,EdTech,Seed,1600000.0,Bangalore,2020.0,"Satyam Baranwal, Vivek Prakash","Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator.",non-technology
554,CRED,Finance company,Series C,1600000.0,Bangalore,2018.0,Kunal Shah,"General Catalyst, Ribbit Capital",non-technology
555,Vistaar Finance,Finance company,Bridge Round,1600000.0,Bangalore,2010.0,"Brahmanad, Ramakrishna Nishtala",FMO,non-technology
556,Let's Dive,SaaS platform,Bridge Round,1600000.0,Bangalore,2020.0,"Nitesh Agrawal, Om Prakash",Surge,non-technology
557,Habitat,EdTech,Seed,1600000.0,Bangalore,2016.0,"Rohit Pande, Shikhar Sachan","Unitus Ventures, Whiteboard Capital",non-technology
558,SAWO Labs,SaaS platform,Seed,1600000.0,Mumbai,2020.0,Prabhat Sahu,"StartupXseed Ventures, 100X.VC",non-technology
559,Signzy,AI platform,Bridge Round,1600000.0,Bangalore,2015.0,"Ankit Ratan, Ankur Pandey, Arpit Ratan","Stellaris Venture Partners, Mastercard",technology
560,KopyKitab,EdTech,Bridge Round,1600000.0,Bangalore,2013.0,"Amit Shrivastava, Sumeet Verma","Paula Mariwala, Siddharth AUndisclosedd",non-technology
561,Kyt,EdTech,Bridge Round,1600000.0,Singapore,2020.0,"Bhavik Rathod, Tripti Ahuja",Sequoia Capital India’s Surge,non-technology
562,Raskik,Fusion beverages,Pre-series A,1600000.0,Bangalore,2019.0,"Vikas Chawla, Abhay Parnerkar, Satyajit Ram","Venture Catalysts, 9Unicorns",technology
563,GetWork,HR Tech,Pre-seed,1600000.0,Gurugram,2019.0,Rahul Veerwal,India Accelerator,non-technology
564,Mobile Premier League (MPL),Gaming,Series B,1600000.0,Bangalore,2018.0,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",non-technology
565,Pravasirojgar,Job portal,Bridge Round,1600000.0,Bangalore,2020.0,Sonu Sood,GoodWorker.,non-technology
566,Omatra Hotels,Hospitality,Seed,1600000.0,Kolkata,2017.0,"NAVEED AHAMED, SYED SAQQA ABBAS",Capify,technology
567,Awign,Job portal,Pre-series B,1600000.0,Bangalore,2016.0,"AnArnav Kumarya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",non-technology
568,NewsReach,Digital Media,Seed,1600000.0,Gujarat,2018.0,"Darshan Shah, Soniya KundArnav Kumari","Mumbai Angels, JITO Angel Network.",technology
569,Cashfree,FinTech,Series B,1600000.0,Bangalore,2015.0,"Akash Sinha, Reeju Datta","George Osborne, Smilegate Investment",non-technology
